-2	-3	-4	-9	-7	-5	-1	-1	
0	-1	-2	2	1	-7	3	-3	
-1	1	4	-5	-2	-8	-1	0	
0	0	5	4	3	16	0	2	
-1	0	-2	-3	-1	-17	-4	-2	
-3	-4	-8	-2	-7	-12	0	-1	
-2	-6	-7	14	3	-13	3	-3	
0	1	-9	5	-13	-7	1	-2	
1	3	5	3	33	15	7	4	
-2	-1	-1	-21	-21	-54	-6	-1	
1	5	11	3	9	28	4	2	
-4	-9	-8	-20	-25	5	-8	-4	
-7	-10	-18	-47	-16	9	-5	-6	
0	1	-4	13	8	-43	-8	-2	
6	8	14	53	15	36	12	8	
1	3	13	-4	44	-19	1	2	
5	4	12	-5	3	57	5	5	
-8	-15	-26	-17	-75	-10	-7	-8	
-11	-12	-18	-35	15	-14	-16	-13	
-1	3	-13	-7	-66	10	0	-1	
8	11	22	25	40	-34	5	4	
4	5	13	-43	16	32	8	4	
7	9	22	96	-13	-4	9	5	
-2	-6	-6	-2	40	21	-2	-4	
-8	-8	-15	-52	-74	-5	-12	-8	
-5	-4	8	-21	-17	9	-10	-5	
-4	-7	-10	40	15	-10	0	-2	
-2	4	14	1	27	-16	-9	-5	
2	3	1	38	32	78	0	2	
-11	-18	-34	-11	14	-20	-18	-9	
2	7	-12	-44	-8	14	-1	1	
7	8	29	-40	-52	14	21	9	
21	18	19	-22	60	25	21	13	
-20	-28	-40	75	1	-37	-9	-19	
19	29	19	-58	7	27	19	20	
-2	-10	14	43	58	-26	-19	-9	
-16	-21	-55	-25	-128	-100	-15	-10	
20	26	31	-67	25	-36	19	19	
-30	-46	-65	26	69	-22	-24	-24	
14	38	46	-59	-121	-11	7	12	
4	1	17	-12	36	50	12	6	
-21	-26	-52	97	-94	-7	-41	-22	
28	35	58	23	66	95	60	32	
-16	-29	-37	-51	-6	-3	-21	-17	
-11	-12	-30	-30	24	-26	-15	-10	
-3	1	8	-17	-43	-21	-8	-2	
1	4	20	-76	-50	38	-13	-7	
5	4	29	91	101	53	14	9	
-5	-8	-37	-22	-71	-78	-10	-13	
14	29	61	14	127	44	28	23	
5	-2	40	-57	-103	-52	-13	-6	
-21	-19	-60	94	52	-37	-6	-12	
-20	-21	-8	-60	-70	-27	-12	-6	
13	11	13	-39	17	9	16	7	
-1	6	-8	55	66	22	-4	-1	
-4	-11	-25	-97	-90	-56	-6	-7	
24	38	61	127	102	62	21	14	
4	6	-1	1	-93	-4	-4	-1	
-9	-4	4	-84	-32	-17	-16	-5	
-17	-28	-73	6	0	-55	-18	-12	
3	7	20	-60	-29	-17	-1	3	
-16	-27	-28	-26	-16	-8	-22	-16	
-2	2	-2	101	77	3	8	-7	
26	36	56	5	69	62	32	24	
-1	-16	-49	55	26	-72	-9	-1	
0	6	5	-58	-31	-39	-4	3	
-26	-42	-42	-124	-128	-122	-34	-24	
-5	-13	-42	-30	-20	11	-3	-15	
11	28	72	40	65	57	11	8	
2	7	0	-44	-19	-44	2	9	
-24	-30	-45	-9	-84	-118	-24	-14	
47	70	122	44	57	101	66	46	
-24	-41	-73	67	-35	-43	-42	-33	
10	20	52	22	-64	68	29	11	
11	15	39	-115	9	37	-9	2	
-11	-25	-85	89	-72	-88	-7	-15	
2	1	-7	-128	83	19	10	12	
4	5	26	-8	6	48	9	3	
-2	-10	-20	50	3	-49	2	3	
-36	-51	-52	37	-46	-42	-43	-28	
12	8	12	-23	20	29	3	7	
6	18	-18	29	-21	37	33	10	
-11	-12	-3	-116	-64	-11	-29	-26	
-9	11	32	-65	-97	34	-10	-7	
22	39	88	78	-53	81	13	18	
-36	-68	-74	-95	27	-67	-16	-15	
32	51	55	126	14	117	51	35	
6	-1	-9	-40	-67	-8	-8	4	
2	5	-4	-40	74	-35	7	1	
2	11	21	-21	-91	-20	-10	-9	
23	10	25	62	63	57	19	18	
3	37	81	2	-70	0	18	10	
-10	-19	0	33	-59	-16	-13	-9	
-23	-51	-102	-34	71	-39	-21	-17	
18	32	49	-9	69	20	17	16	
10	8	10	23	-4	-45	9	5	
-18	-27	-38	-52	-61	-45	-9	-15	
10	17	67	74	22	78	24	20	
-17	-45	-119	19	-120	34	-3	-2	
5	27	36	-57	-2	-15	5	8	
-13	-16	-29	-80	-31	-72	-17	-30	
19	24	31	80	-39	-4	3	24	
7	-3	16	-29	-29	-40	10	12	
8	6	-19	27	127	6	-3	7	
-44	-48	-49	-55	-42	29	-50	-38	
-4	3	-13	-106	-84	-31	-7	-7	
-2	7	7	-6	36	-71	8	-2	
-5	-25	-38	-61	-64	-35	-25	-22	
9	16	34	-35	-45	-42	10	21	
14	14	13	24	97	61	30	0	
-5	3	-17	-115	4	-23	-32	-6	
1	-19	36	30	40	37	21	-1	
-37	-24	-96	5	57	-67	-44	-26	
25	54	84	2	-29	91	32	22	
-27	-41	-38	-33	41	-83	-19	-21	
-5	-4	-17	-116	-48	23	-9	-1	
16	27	44	58	90	-14	24	12	
-3	2	-20	-69	-46	-77	-17	-10	
-17	-19	-19	127	24	63	-25	-22	
17	9	34	-119	-68	63	34	25	
6	4	-3	50	-43	-5	1	-4	
-12	-21	-27	30	-9	-9	-18	-8	
-7	22	30	-43	-26	23	8	-7	
-6	-39	-83	23	46	-62	-37	-10	
40	45	59	44	-94	118	61	53	
-25	-21	-46	-128	-40	-34	-3	-15	
-4	-11	-12	94	101	0	-6	-7	
1	15	48	-44	-76	27	23	12	
-4	-18	-16	-78	4	-46	-2	-5	
-3	-34	-23	-28	90	-16	-28	-7	
-5	5	-25	-123	6	16	22	8	
14	37	4	126	-14	44	18	11	
-2	-3	31	-47	-4	22	-7	-6	
5	9	-29	8	-49	-61	-35	-17	
-34	-47	-19	81	73	-55	-30	-25	
