-16	14	5	0	-2	-1	1	-9	
-3	-7	3	-1	3	0	7	1	
7	-1	-3	-3	0	0	0	-1	
-1	2	2	-2	-2	-1	-3	-2	
6	3	-4	-2	-4	-2	-3	-1	
0	1	1	0	-1	0	-1	-1	
-3	7	0	0	0	3	1	1	
-2	-1	-4	-1	0	-5	-3	0	
1	-11	-1	0	0	1	0	-1	
-1	-1	0	1	-2	0	1	-3	
-1	5	0	-3	0	-2	-3	-2	
-6	-6	-9	-1	-2	-2	1	-3	
-6	-8	2	-1	0	-3	-3	0	
-4	-14	-5	-2	0	1	-1	-1	
-3	10	4	2	-2	0	-3	-3	
0	11	5	-1	-1	-4	-2	0	
11	-11	-9	-2	-1	-2	-3	2	
-3	-3	3	-1	-2	4	6	-1	
2	-2	-2	0	0	-2	0	1	
-2	4	0	-1	-1	3	4	2	
-3	-4	-1	-1	-1	-3	-2	1	
3	-3	-3	-3	-1	-8	-12	-4	
0	4	-5	-1	2	0	4	6	
3	-9	0	1	-1	-2	2	-2	
-2	3	-3	-3	-1	1	-1	0	
-2	3	4	1	0	-3	-2	1	
-2	-10	-1	0	0	-1	0	-2	
-1	-12	-2	-1	-1	1	1	-1	
2	5	-2	0	-2	0	0	-1	
-1	12	0	-2	0	1	4	-1	
-8	-6	0	0	1	1	0	0	
8	0	1	-2	-2	-1	-10	-1	
-5	2	2	1	2	0	3	-1	
10	-9	-6	-1	-2	-4	-4	0	
-1	-7	-6	-1	-3	1	3	-3	
-7	8	1	-1	-2	1	-4	-1	
3	-7	-1	-1	0	-2	2	-2	
-13	2	3	2	1	-1	-5	-2	
4	0	-1	-2	-3	-3	-1	0	
4	-10	-5	-4	-2	1	1	-1	
-2	-10	0	-3	-3	-1	-4	-2	
9	5	-2	-2	1	1	2	1	
-11	-2	3	1	0	1	-5	-5	
-2	3	-7	0	-1	-3	2	1	
4	7	9	1	-1	0	-1	0	
-2	-3	0	0	-1	0	1	1	
-4	7	-13	0	-1	1	-1	-2	
-1	1	8	3	-1	0	8	-2	
-5	0	-5	-3	0	-2	-2	0	
-1	3	4	-2	0	0	-16	1	
4	-5	1	-3	1	-2	1	-1	
-6	-7	1	2	0	0	-3	-5	
-4	2	-4	0	0	1	-3	-1	
0	1	2	2	-2	-1	3	-2	
5	0	-1	1	-1	1	3	2	
-1	-7	-5	-8	-1	0	2	0	
-1	-2	1	-2	1	1	0	0	
-3	0	-2	-2	-2	0	6	-1	
0	0	2	2	-1	-3	-7	-1	
1	2	0	0	-1	-2	-4	1	
12	-1	-7	-1	-2	-2	-1	9	
-5	-1	-4	1	1	0	1	0	
-2	11	5	2	-1	0	2	0	
1	6	1	2	2	-2	2	-2	
-10	13	2	4	2	1	-2	-23	
-19	-7	0	-1	-2	-2	-16	-11	
0	-5	14	4	3	1	4	1	
3	6	-9	-1	0	1	1	1	
3	6	3	-1	-4	-3	7	4	
9	-30	-11	-4	3	3	-15	4	
23	11	3	1	1	4	32	2	
-29	-25	5	0	-4	-14	-29	-10	
-8	-2	17	3	-5	10	10	2	
-9	56	-17	-6	-1	-9	-16	-14	
6	3	-16	-8	-5	0	-18	4	
11	10	12	7	6	0	21	12	
-1	-29	2	-7	3	-7	-2	-7	
26	-7	-63	-2	-6	2	9	-6	
-4	-42	19	2	2	3	7	2	
-22	80	6	-6	-6	-63	-30	-21	
-47	18	13	2	-4	0	10	4	
37	-11	66	24	10	3	5	61	
23	44	-49	-20	-1	94	91	-28	
-51	17	-6	0	-4	-58	-76	-17	
42	23	5	7	7	-17	16	28	
0	-75	34	5	-7	-128	-41	-27	
-85	-73	-60	-24	-21	-128	-83	4	
27	-30	60	1	10	126	108	-5	
-6	98	-43	-4	2	-9	-104	-21	
20	-16	-7	10	-3	-34	-37	11	
33	11	31	10	4	-43	-2	35	
-22	42	16	-26	3	-37	60	-6	
-1	-20	21	-5	-7	-95	-83	74	
38	-13	54	14	11	55	99	-24	
-36	-21	-20	4	2	27	6	6	
96	42	-41	2	-21	-81	-83	111	
-83	-32	5	3	22	112	127	-68	
-19	51	12	-16	-11	-66	35	29	
-6	-64	-62	-9	-15	112	-29	-27	
34	57	-24	1	5	-91	-75	-63	
18	-24	36	0	-7	65	-128	-14	
-59	25	4	-20	-27	-103	74	-2	
87	-13	-18	5	28	98	107	-56	
-19	-71	18	24	15	-53	-65	-44	
36	30	19	-10	-16	63	48	-57	
-38	24	-86	-8	2	-67	-21	-48	
-33	-45	47	-15	-22	67	56	-18	
41	-110	-34	4	10	-98	-94	-57	
-14	46	36	25	29	68	118	30	
9	-14	9	-7	-18	-22	-44	-71	
4	32	-17	11	4	-31	-53	28	
-51	-87	-3	-3	-9	41	-98	39	
18	1	-88	-33	-38	-112	127	-41	
23	0	6	5	30	127	-128	80	
-32	-25	-43	6	-7	-128	-128	50	
-71	26	88	-8	-15	108	106	17	
79	-11	-106	10	22	11	2	-14	
-26	-32	-8	4	1	-82	-47	1	
-11	49	47	-20	-36	96	-72	59	
-78	-64	-22	-18	-33	-71	55	23	
45	-9	24	10	28	-85	-76	9	
28	15	-6	9	23	22	-80	-11	
-35	41	119	40	31	-70	-115	12	
91	49	-78	17	20	67	102	-58	
-36	-115	32	-26	-24	-51	-128	1	
-49	-35	-72	-23	-19	2	-58	-30	
47	54	84	2	4	-53	61	38	
42	123	48	16	6	-24	-19	125	
30	-93	24	11	-16	-20	-109	-58	
36	82	47	15	65	127	123	105	
-84	-70	-65	-17	-14	-128	-120	-128	
22	57	-27	-3	-9	-40	37	-59	
-19	-64	-24	-19	-9	41	34	35	
-22	43	25	6	-33	-128	-128	-59	
33	27	58	8	41	127	127	39	
-28	-29	-26	-8	-6	-44	-90	-39	
22	61	5	-5	-13	-78	-128	43	
-83	-91	-44	-18	-12	-4	-50	-78	
3	59	5	9	6	-119	-67	-40	
11	-50	46	11	17	87	-29	-31	
16	70	116	27	20	-74	-41	-19	
56	-88	-42	-1	0	-23	-66	6	
49	6	6	-15	-5	42	61	-42	
-26	-3	24	15	17	16	-56	-53	
-24	54	-17	3	-18	-72	-39	-59	
-20	-87	-24	-16	17	124	127	-3	
31	52	-2	-2	-2	-114	-128	-19	
-38	-82	6	-9	-25	-28	-14	-70	
-6	-66	5	7	30	117	25	28	
13	89	40	-5	-40	-121	-104	-70	
30	11	-90	-41	-22	-1	-10	-47	
-72	-26	-10	0	-10	72	25	48	
-56	124	-5	29	40	-117	-117	-16	
63	-30	74	20	19	36	127	-17	
38	-42	0	14	7	-13	-48	20	
25	-21	-101	-24	-11	-92	-105	117	
-30	-3	44	-14	-25	55	103	20	
-2	89	-72	-13	-14	113	69	67	
-12	-13	54	10	-11	-113	-97	-21	
9	-18	-15	8	11	-122	92	-83	
-14	-63	-22	-26	1	127	32	-25	
0	20	-18	1	-12	-128	-69	-17	
-16	-88	5	6	9	-88	70	85	
6	95	29	-8	9	127	60	49	
