0	0	1	8	0	-1	-10	-8	
1	-1	-3	-11	0	5	33	20	
1	3	3	4	4	2	1	-1	
-1	0	3	-1	-4	2	11	1	
-5	-5	-5	-1	3	-4	-19	-7	
-3	0	-1	-9	-9	-3	-4	-5	
1	2	0	6	2	3	0	-2	
-1	-6	-5	0	3	-1	1	0	
-1	-4	-3	-3	-5	-1	0	-1	
-1	0	-2	0	-1	-4	-9	-6	
1	8	9	-6	-4	-1	-2	1	
2	1	-1	3	0	-1	3	0	
-3	-7	-2	1	2	-1	-1	1	
-3	5	6	5	2	-2	-2	-3	
-2	-1	-7	-3	-2	-2	-6	0	
0	-7	1	-4	0	-1	7	2	
0	1	-10	0	1	-1	1	1	
3	5	3	-5	-8	-3	-8	-2	
0	-7	-8	-8	-6	-3	2	0	
1	5	3	-3	-2	1	5	3	
-8	-7	-1	0	-1	-5	-9	-6	
-2	0	8	8	5	7	3	-2	
4	3	3	2	-1	0	-7	-2	
2	1	-3	-6	-4	1	20	2	
3	1	0	-2	-2	0	2	7	
-7	-1	0	-2	-2	-3	6	-1	
-2	-5	0	3	6	0	-15	-3	
-3	-5	-9	-4	-3	-2	-13	-3	
4	3	4	-3	-3	-2	8	4	
0	0	0	2	0	1	-8	-2	
-1	3	2	-1	2	-4	4	4	
0	-7	2	3	1	-1	-34	-8	
0	9	2	-1	-2	8	32	3	
2	-4	-6	-3	-1	1	1	6	
-5	-8	-14	-5	0	0	8	0	
1	6	15	11	4	-2	1	1	
-3	-5	1	-1	-1	-2	-18	-3	
-4	-3	-2	3	4	-1	-7	-7	
2	-1	-1	-6	-7	-1	9	1	
1	2	-4	-4	-1	-1	-2	1	
1	3	-4	-3	-5	-6	-6	-3	
-2	2	6	7	12	4	-16	-1	
-1	-2	-4	0	3	1	3	-1	
1	1	1	-1	-3	2	8	1	
1	3	0	-1	1	-1	14	5	
-1	-7	-7	-8	-5	-4	-6	-1	
-3	-1	3	6	3	5	0	-2	
-3	-1	-2	7	4	-5	3	-4	
-1	-3	-3	-3	-4	-2	-35	-9	
-1	-6	-8	-2	-4	-11	2	-3	
0	10	13	-12	-18	-3	15	3	
-7	-20	-16	9	9	3	-17	-6	
16	35	21	-9	-3	19	43	19	
9	10	16	18	9	21	18	16	
0	1	-4	2	2	-4	-8	-2	
-5	-9	-9	-10	-7	-10	-1	-2	
-14	-17	-9	-5	-5	-15	-35	-19	
-5	-2	-8	-8	-6	-8	-10	-9	
-1	-4	-2	-2	-3	-4	-1	-1	
-9	0	-3	-6	-4	-5	-7	-4	
-24	-17	-28	-5	5	-32	-55	-39	
