-2	0	0	4	1	0	0	-1	
0	-2	-1	0	1	-1	0	-1	
0	-1	-1	-1	-2	-2	-1	-1	
0	-1	0	-3	-4	-2	0	0	
-1	1	0	-1	-5	-1	-2	1	
1	0	-1	1	1	0	1	-2	
-1	-3	0	-3	3	1	0	1	
-1	1	-1	2	0	-2	-2	0	
-5	-2	-2	1	3	-1	-2	-2	
0	-1	0	-2	1	1	-1	-1	
1	-1	-2	0	-5	-1	-2	0	
3	1	1	-3	-1	1	-2	0	
-3	-2	-3	-4	-2	-1	0	-2	
-2	-2	-2	-3	-3	-1	-2	-1	
-3	-2	-2	1	0	-2	0	1	
3	1	-1	1	-1	-2	0	2	
2	-3	-3	-7	-5	0	0	-2	
0	-3	0	3	-4	-1	-1	0	
0	-2	0	-12	1	0	0	-1	
-3	-3	-3	4	9	2	2	-1	
1	1	2	5	3	-1	-3	3	
-2	1	-3	-4	1	0	2	-3	
0	0	2	2	-5	0	-3	-2	
-2	-1	2	-9	-8	-3	0	-3	
-2	-3	4	-7	0	0	1	-1	
-1	-1	-6	14	0	0	-2	-1	
-1	-1	1	3	2	-1	-1	2	
-1	1	1	12	8	2	20	-5	
4	4	-2	2	5	1	-10	7	
-3	-3	-1	-8	-6	-2	-38	-8	
-6	-6	-5	14	-1	-5	-17	1	
1	0	-24	-39	-5	-1	40	7	
7	6	41	11	-5	-1	-39	-7	
-16	-14	-13	-7	2	2	44	-1	
12	2	-11	8	3	4	1	-29	
1	2	21	23	1	-2	-3	52	
-1	-4	-35	-12	-3	-7	0	-35	
0	16	18	-38	-5	-5	-68	-63	
-6	-7	-37	-52	-6	2	19	43	
20	-14	-41	33	-4	1	-21	7	
-1	9	-1	-28	0	2	93	12	
-5	-13	7	84	1	-5	-33	5	
7	7	55	-59	2	3	-10	-23	
7	19	21	0	-4	1	53	-14	
-25	-20	-32	13	-3	-11	-42	-29	
16	31	116	-4	5	8	96	-1	
1	-26	-88	-3	-13	-10	-75	34	
25	-15	-78	62	5	4	3	108	
-25	13	4	9	7	2	58	-51	
56	-2	21	-15	-14	-3	88	28	
-48	-15	15	-28	-9	-7	-51	-11	
-10	2	-33	-3	5	-4	-58	8	
43	17	44	11	1	7	-45	70	
-63	-43	-128	-48	6	-6	102	-44	
32	1	116	0	-8	0	-51	-67	
-10	-12	66	20	-13	-6	115	24	
-92	-44	-88	-41	-11	-5	91	62	
57	22	52	76	-1	-16	-113	1	
30	18	-78	25	15	11	127	102	
-9	11	-3	-13	-8	-12	-91	8	
