1	1	-1	0	-1	0	-1	-1	
0	0	0	-2	-1	1	1	0	
-2	-1	1	0	-2	0	-1	0	
0	-2	0	-1	-4	-2	-1	-1	
-3	-5	-3	-1	2	0	0	-2	
-2	-1	-1	-2	0	-1	-1	-1	
0	-1	0	-1	-1	0	1	-2	
1	0	2	-1	0	2	0	-1	
-2	0	-2	-3	-3	-1	0	-1	
0	0	-1	-1	-1	-2	-2	-1	
-2	-1	-1	-1	0	-3	-1	2	
0	-1	-1	2	0	-2	-1	1	
0	1	3	2	1	0	-1	0	
-1	-2	-1	-3	-1	0	0	-2	
0	-1	-1	-1	-1	-1	-2	-2	
-2	-1	-1	-1	-1	0	0	-3	
2	0	2	-1	0	-1	-2	-3	
-1	-1	1	0	-2	1	-3	-2	
-2	-2	-1	1	-1	-2	0	-3	
-1	-2	-1	-1	1	-1	-1	1	
-2	4	-2	-1	0	-1	-1	0	
1	-1	-3	-1	0	-2	1	-1	
-1	2	18	1	-1	0	0	0	
1	-3	-10	-2	-1	-1	1	2	
-4	0	5	0	-1	1	0	0	
1	6	11	3	0	2	-1	1	
-7	-8	-16	-2	-2	-1	-2	-3	
3	4	10	0	-1	0	0	1	
11	-3	-10	-5	0	-2	-2	-1	
-2	2	12	3	1	2	-1	-2	
-1	-1	-8	0	1	0	-2	0	
-1	-2	-3	0	0	0	-1	-1	
-6	-2	0	0	1	1	0	0	
3	3	7	-3	-1	0	-1	26	
1	9	17	0	0	2	2	3	
18	-7	2	-5	-1	-2	0	2	
-18	-2	8	5	0	-2	-1	-6	
-8	1	30	-2	-3	-3	-2	-5	
0	1	-68	-7	-3	-3	-2	-19	
-31	-6	12	1	2	2	0	-17	
41	3	-20	-9	0	1	0	28	
-4	0	4	1	0	0	4	9	
-4	13	52	23	3	2	0	-41	
3	-8	-51	-24	-5	-1	0	-2	
-5	6	-6	13	1	0	3	5	
23	-2	-25	-3	4	3	-2	-33	
-23	-22	12	11	-12	-9	-10	19	
-8	-5	10	-23	-6	-2	-3	10	
-45	6	3	-7	2	0	-4	-22	
12	2	-20	56	1	1	1	-2	
-6	36	-10	-19	19	9	6	8	
23	3	26	18	-1	-1	2	-32	
-44	-26	35	-19	-20	-9	-10	-9	
5	-19	15	12	-1	1	12	57	
-1	-41	-46	-3	-4	-3	7	4	
-59	-9	39	8	-1	-2	-23	-34	
61	45	-65	-69	21	6	1	-35	
-75	-55	21	81	-25	-11	-10	-51	
27	43	51	42	11	10	8	-6	
35	41	-43	-73	-9	-3	-1	11	
-56	-68	23	8	-5	-7	-6	4	
20	82	-22	-35	0	1	8	14	
-40	-53	-43	-13	0	-2	-6	-7	
22	3	3	12	-5	-3	4	56	
55	34	10	11	6	5	10	-34	
-52	-75	13	-15	8	2	12	88	
