0	1	2	0	1	0	0	0	
0	1	-1	-2	-1	1	-1	-1	
-1	0	-1	5	1	0	0	-1	
-1	-4	-1	1	1	-2	-1	0	
-1	-3	-1	-1	1	-1	-2	-1	
-2	-1	-1	1	0	1	-2	0	
-5	-6	3	0	-1	1	-2	1	
1	-3	-2	-1	-1	-1	-1	-1	
-1	1	-1	-1	0	-1	0	-2	
-1	-1	1	-1	-3	-1	-1	-1	
0	0	-2	-4	-1	-1	1	-1	
-2	0	2	-1	1	-2	-1	0	
0	-2	-2	-2	0	-2	-1	0	
-3	-3	-4	0	1	-2	0	-2	
0	-2	-1	-4	-1	-3	-2	1	
0	2	2	0	-1	0	1	-1	
-1	2	-2	-1	-3	-1	0	-2	
0	-2	-6	0	-1	-1	-3	-1	
1	-1	-2	-1	1	-2	-1	-1	
-1	-4	0	0	1	0	-3	-2	
2	-1	-1	2	1	1	1	1	
0	1	1	0	-1	-1	0	-1	
-2	-1	-2	0	-1	0	0	-3	
0	1	-6	1	-3	0	0	-4	
-1	2	3	-2	-3	1	0	3	
0	-1	1	-1	-1	-1	1	1	
-2	-2	-5	-2	-2	-1	-2	-2	
13	2	5	0	-1	0	0	2	
-30	-4	8	4	-1	0	-1	-1	
-4	-2	-29	-3	-1	-3	0	12	
-8	2	13	-3	-2	2	1	8	
-18	-8	-10	-4	-2	-1	-4	-23	
4	3	22	0	0	0	-2	-3	
-5	4	-8	-3	0	1	3	32	
10	-8	-60	-2	2	-1	-1	-4	
2	3	6	5	0	0	2	8	
8	3	39	3	0	0	-3	23	
6	-8	-24	-7	-4	-3	-5	-4	
7	9	18	1	-2	-3	1	-7	
10	9	12	8	0	0	0	15	
27	-18	-28	-11	-4	-4	-1	-3	
1	8	46	8	3	2	4	8	
-14	10	0	4	-4	-1	1	0	
10	-1	-35	5	0	-1	1	1	
-23	13	35	-25	0	0	2	-2	
1	-1	-2	18	7	3	0	10	
-9	-6	37	-41	-14	-7	-5	-36	
3	-64	-15	-20	-5	-6	-6	2	
-16	14	12	5	0	-2	-7	-7	
-9	-13	46	0	7	1	-17	-16	
-1	10	49	-52	1	3	26	35	
22	15	-83	46	-14	-2	0	-33	
-11	0	30	0	-2	-4	0	7	
15	-4	-52	-33	-3	0	-8	-20	
18	-11	-17	22	10	-1	-24	17	
-13	16	-22	-15	4	4	37	-12	
4	-19	11	18	3	-1	-1	-8	
3	8	29	36	-1	-1	26	15	
18	22	-30	-2	3	0	17	35	
-15	-9	53	-8	1	-2	-18	-26	
26	-26	-31	22	-6	-6	-6	26	
-23	9	50	-39	-2	-1	11	-38	
-42	-39	8	62	-3	-6	-56	0	
-18	27	32	-94	-10	-6	-16	-25	
-2	-17	-52	4	-4	1	5	-1	
5	30	-7	65	7	6	-17	13	
11	-10	-34	-22	-8	-7	-15	-39	
16	26	31	26	17	7	-8	51	
14	36	17	37	14	8	-8	-18	
-10	-33	-25	-30	-19	-13	16	13	
-1	16	-32	41	4	7	16	6	
42	15	84	24	3	0	0	-2	
-1	-4	-128	-110	-6	-4	-8	-38	
16	-27	75	27	-20	-14	-16	39	
-12	-17	-40	-1	7	5	36	-11	
-39	-19	-5	-12	-7	-7	-16	8	
2	39	3	-2	4	0	-1	-37	
6	28	31	14	9	4	-4	16	
-24	-33	-15	-18	-12	-13	-32	-7	
-47	3	16	-6	-5	1	11	-2	
1	40	44	15	-8	-5	-4	-28	
8	-30	-15	17	12	4	30	-28	
24	-8	41	-27	3	1	19	60	
8	15	-44	31	14	9	-6	21	
-21	-38	28	-75	-9	-4	11	5	
47	38	-16	17	8	5	11	-7	
-37	47	0	82	-12	-4	0	-8	
2	-63	11	6	0	-4	-1	12	
-22	-8	-23	14	4	1	2	19	
-16	-30	-32	-76	-16	-5	-29	-34	
10	28	19	-6	14	10	55	26	
11	-36	-2	25	-18	-15	-10	-33	
-37	-26	-2	46	23	9	-25	-17	
-19	22	-40	-13	-11	-9	-32	23	
15	-15	18	12	-4	-2	-20	-23	
-18	17	2	29	12	6	1	3	
-11	-28	-9	-27	-20	-7	-5	15	
-5	23	-22	-27	9	8	-29	57	
-6	-81	-6	-9	-7	-8	-27	14	
13	32	-4	-45	7	9	-31	-40	
10	-53	8	15	-9	-6	43	18	
-9	67	-13	13	2	6	11	-27	
26	-1	6	-36	0	3	24	-9	
-16	44	-4	-11	2	2	9	33	
11	-31	8	13	-8	-4	20	72	
12	12	-11	-11	-13	-10	0	-47	
-11	7	-2	26	20	7	4	-47	
-16	9	-3	-14	-16	-7	0	29	
20	-1	-6	1	-6	-4	20	-5	
-28	-15	-6	-5	3	-1	4	5	
5	46	11	5	2	4	-38	-6	
-33	-38	1	-76	-1	-4	81	22	
17	17	-4	25	5	6	38	21	
-5	-17	-11	1	-1	2	35	-10	
14	27	4	-12	-4	-2	8	0	
-4	8	0	28	-5	-3	-33	-6	
79	19	1	-9	4	-4	-34	-14	
39	-21	0	56	16	6	5	-44	
-14	3	-3	-83	-6	-2	3	0	
38	35	-2	69	8	3	-26	25	
-38	-63	-1	-4	-7	2	0	-11	
30	42	-4	-16	-5	-2	-15	18	
-6	28	4	3	7	0	-25	-14	
-15	6	-4	-8	-2	-4	-30	-25	
-7	-17	-6	-69	4	4	-11	-21	
-1	-4	-2	7	-8	-9	3	18	
-45	-1	-2	-18	-9	-3	-34	-6	
10	-13	-5	-47	-3	-4	34	53	
-14	17	2	35	8	5	-47	63	
-44	-30	0	-15	9	5	-32	-43	
75	64	-2	53	3	-4	24	30	
10	-1	8	-4	0	4	-18	-56	
4	39	0	-45	0	-2	-38	20	
-28	-87	-4	51	-16	-19	-60	-5	
9	11	-1	47	4	-4	3	-3	
54	-8	-5	-36	-2	-3	8	20	
16	55	-1	-12	-2	-1	-11	-31	
18	1	2	65	16	8	34	12	
-53	-33	-4	-18	-15	-8	-15	-21	
60	10	-2	45	-2	3	13	25	
-45	-66	-4	-43	-19	-14	-18	-39	
7	102	-1	-59	11	10	18	27	
-12	-126	4	46	-6	-2	14	-18	
-17	50	-2	35	16	9	-6	18	
-11	-27	-1	27	-9	-9	42	9	
-6	-17	2	-62	-9	-6	-2	-30	
37	21	7	11	1	4	-28	49	
-15	-39	5	-9	-2	4	45	22	
-21	35	1	49	2	0	-3	-72	
27	-17	-7	-21	-9	-3	12	65	
22	63	-3	-27	14	12	13	-48	
-14	-62	-6	-7	-8	-16	-59	-56	
-61	46	-1	15	-11	-8	29	37	
32	-23	-2	33	24	17	25	6	
0	14	2	-119	-8	-3	-25	-17	
-5	-35	0	102	-9	-10	-12	-15	
-27	19	-3	29	9	8	-2	44	
30	17	1	-13	-4	-1	37	3	
-16	-33	-2	67	14	3	18	24	
-35	-12	2	-17	3	5	-42	-45	
12	22	-2	-18	6	2	90	55	
6	34	-1	31	-5	-7	-7	1	
-65	-3	1	-4	6	-4	-26	-15	
8	0	1	-6	3	2	-21	-46	
2	-9	1	13	1	4	-28	22	
-64	0	-6	11	-1	3	7	3	
55	45	-2	-34	-17	-14	10	-22	
4	39	0	1	11	10	42	41	
-3	-27	1	-63	7	3	-46	-14	
-62	-19	3	57	-20	-8	34	12	
3	17	0	69	11	9	-6	57	
0	56	-3	1	-2	5	19	2	
14	-40	0	-41	2	-3	13	2	
-7	-32	0	-6	2	1	-50	-10	
-8	-33	-4	26	-18	-10	-22	-26	
-6	16	2	-47	4	2	75	56	
31	19	0	-27	6	6	-10	-38	
-1	-40	-3	-73	-20	-14	-19	-27	
-37	-35	0	-45	-9	-3	-9	-37	
-6	-48	1	-3	-7	-5	60	73	
25	26	0	32	-9	-6	-26	-28	
-49	11	0	46	10	5	45	33	
-3	1	-1	-61	-9	-5	-15	-7	
-17	-25	-1	-38	-3	-5	-30	11	
14	-11	1	56	-2	-1	-21	-50	
19	11	-2	-111	-9	-6	58	-43	
-15	-69	-1	-3	-17	-11	40	25	
-61	6	4	46	-4	-9	-2	-34	
-7	-42	-1	-21	-6	-2	23	-22	
3	23	-3	-35	24	11	-54	3	
-8	23	-2	93	11	9	14	38	
-4	-19	3	-128	-17	-6	-2	-13	
8	41	-4	38	16	6	-61	-2	
16	-26	4	66	-13	-5	25	-26	
34	26	-2	-50	5	13	104	79	
59	58	1	56	4	-2	-33	-26	
14	-1	1	-1	-1	3	-26	-4	
-16	-27	-2	-36	-5	-3	-58	-41	
13	32	-6	-8	8	0	-32	-60	
9	21	3	0	-7	-4	-4	24	
41	46	-2	-13	8	1	1	41	
-25	-48	3	-26	-6	-5	22	-12	
4	33	2	-12	-10	2	7	6	
-40	-50	-4	44	-4	-3	-27	-45	
-5	20	1	9	-5	-3	17	9	
11	21	-1	22	18	9	-29	39	
-8	-6	1	36	13	3	22	24	
-13	-42	-5	-64	-22	-9	-35	-21	
-14	2	4	25	7	7	57	-14	
56	26	0	-9	-2	-4	42	73	
-48	-43	-2	-29	2	-3	-30	15	
6	11	-7	-18	-2	2	39	-26	
36	5	1	50	2	-1	-10	-22	
-29	-10	-2	-43	-9	-3	-88	-46	
113	7	0	18	10	6	-27	-18	
7	30	1	19	4	-2	-36	18	
-25	-43	-1	-34	-12	-7	-28	23	
-15	21	-1	36	4	-6	-8	-38	
-13	-37	3	-20	-8	-3	-9	-10	
3	2	0	15	1	1	2	10	
